Host: ubuntu19  Current process id: 14488
./linkern -s 43 -S linkern.tour -R 1000000000 -t 10000 ./cities1k.tsp
Chained Lin-Kernighan with seed 43
Problem Name: traveling-santa-2018-prime-paths
traveling-santa-2018-prime-paths
Problem Type: TSP
Number of Nodes: 197769
Rounded Euclidean Norm (CC_EUCLIDEAN)
Time to build kdtree: 0.07
..................................................................................................................................................................................................... 908246 edges
Time to find quad 2-nearest: 1.53
Grow a Quick-Boruvka tour 
...................
Length of Quick-Boruvka Tour: 1664310972.00
Time to grow tour: 0.21
linkern ...
Starting Cycle: 1664310972
   0 Steps   Best: 1515104241   7.58 seconds
 101 Steps   Best: 1514885438   7.96 seconds
 102 Steps   Best: 1514878592   7.96 seconds
 103 Steps   Best: 1514874581   7.96 seconds
 104 Steps   Best: 1514869692   7.96 seconds
 107 Steps   Best: 1514865644   7.99 seconds
 108 Steps   Best: 1514857631   8.00 seconds
 109 Steps   Best: 1514856158   8.00 seconds
 111 Steps   Best: 1514849143   8.01 seconds
 112 Steps   Best: 1514836921   8.01 seconds
 113 Steps   Best: 1514835386   8.02 seconds
 114 Steps   Best: 1514834901   8.02 seconds
 117 Steps   Best: 1514831066   8.03 seconds
 119 Steps   Best: 1514828333   8.04 seconds
 121 Steps   Best: 1514828096   8.05 seconds
 123 Steps   Best: 1514824062   8.05 seconds
 124 Steps   Best: 1514812042   8.05 seconds
 125 Steps   Best: 1514811583   8.06 seconds
 128 Steps   Best: 1514805790   8.08 seconds
 133 Steps   Best: 1514804722   8.10 seconds
 135 Steps   Best: 1514799447   8.10 seconds
 136 Steps   Best: 1514798850   8.11 seconds
 139 Steps   Best: 1514794182   8.11 seconds
 140 Steps   Best: 1514787375   8.12 seconds
 142 Steps   Best: 1514786461   8.12 seconds
 143 Steps   Best: 1514768537   8.13 seconds
 144 Steps   Best: 1514766503   8.13 seconds
 146 Steps   Best: 1514765406   8.14 seconds
 148 Steps   Best: 1514764363   8.14 seconds
 151 Steps   Best: 1514759133   8.15 seconds
 152 Steps   Best: 1514755787   8.16 seconds
 153 Steps   Best: 1514752246   8.16 seconds
 156 Steps   Best: 1514747830   8.17 seconds
 158 Steps   Best: 1514740684   8.18 seconds
 162 Steps   Best: 1514738472   8.22 seconds
 163 Steps   Best: 1514736984   8.22 seconds
 165 Steps   Best: 1514729839   8.23 seconds
 166 Steps   Best: 1514727946   8.23 seconds
 167 Steps   Best: 1514723028   8.24 seconds
 168 Steps   Best: 1514716305   8.24 seconds
 170 Steps   Best: 1514711856   8.25 seconds
 171 Steps   Best: 1514709572   8.25 seconds
 173 Steps   Best: 1514706450   8.26 seconds
 174 Steps   Best: 1514698845   8.26 seconds
 175 Steps   Best: 1514690420   8.26 seconds
 176 Steps   Best: 1514690182   8.27 seconds
 177 Steps   Best: 1514687511   8.27 seconds
 180 Steps   Best: 1514681054   8.28 seconds
 181 Steps   Best: 1514679957   8.29 seconds
 182 Steps   Best: 1514677866   8.29 seconds
 183 Steps   Best: 1514661350   8.29 seconds
 185 Steps   Best: 1514657563   8.31 seconds
 188 Steps   Best: 1514655855   8.32 seconds
 190 Steps   Best: 1514655133   8.32 seconds
 191 Steps   Best: 1514654246   8.32 seconds
 192 Steps   Best: 1514649922   8.33 seconds
 193 Steps   Best: 1514640090   8.33 seconds
 194 Steps   Best: 1514637257   8.33 seconds
 196 Steps   Best: 1514636612   8.34 seconds
 200 Steps   Best: 1514623062   8.37 seconds
 202 Steps   Best: 1514616589   8.38 seconds
 204 Steps   Best: 1514606994   8.39 seconds
 206 Steps   Best: 1514602457   8.39 seconds
 207 Steps   Best: 1514596978   8.40 seconds
 208 Steps   Best: 1514595051   8.40 seconds
 209 Steps   Best: 1514590723   8.40 seconds
 210 Steps   Best: 1514588940   8.40 seconds
 211 Steps   Best: 1514588077   8.41 seconds
 213 Steps   Best: 1514586396   8.41 seconds
 214 Steps   Best: 1514585664   8.42 seconds
 215 Steps   Best: 1514582445   8.42 seconds
 217 Steps   Best: 1514582245   8.42 seconds
 218 Steps   Best: 1514576756   8.43 seconds
 220 Steps   Best: 1514569169   8.43 seconds
 222 Steps   Best: 1514560348   8.44 seconds
 225 Steps   Best: 1514554804   8.45 seconds
 232 Steps   Best: 1514552570   8.47 seconds
 234 Steps   Best: 1514551944   8.48 seconds
 235 Steps   Best: 1514548264   8.49 seconds
 236 Steps   Best: 1514545232   8.49 seconds
 238 Steps   Best: 1514540502   8.49 seconds
 239 Steps   Best: 1514536991   8.49 seconds
 240 Steps   Best: 1514534257   8.50 seconds
 242 Steps   Best: 1514522739   8.51 seconds
 243 Steps   Best: 1514518111   8.52 seconds
 245 Steps   Best: 1514516744   8.52 seconds
 248 Steps   Best: 1514509295   8.53 seconds
 251 Steps   Best: 1514506521   8.54 seconds
 252 Steps   Best: 1514501637   8.55 seconds
 253 Steps   Best: 1514500154   8.55 seconds
 254 Steps   Best: 1514493139   8.56 seconds
 259 Steps   Best: 1514490636   8.58 seconds
 260 Steps   Best: 1514487101   8.59 seconds
 261 Steps   Best: 1514476357   8.61 seconds
 262 Steps   Best: 1514473845   8.61 seconds
 263 Steps   Best: 1514473383   8.61 seconds
 264 Steps   Best: 1514471138   8.61 seconds
 268 Steps   Best: 1514465123   8.62 seconds
 269 Steps   Best: 1514463217   8.62 seconds
 270 Steps   Best: 1514453261   8.62 seconds
 271 Steps   Best: 1514447459   8.63 seconds
 273 Steps   Best: 1514445259   8.63 seconds
 274 Steps   Best: 1514443357   8.64 seconds
 275 Steps   Best: 1514438537   8.64 seconds
 276 Steps   Best: 1514431322   8.65 seconds
 278 Steps   Best: 1514427524   8.65 seconds
 280 Steps   Best: 1514421224   8.66 seconds
 282 Steps   Best: 1514419847   8.67 seconds
 283 Steps   Best: 1514417465   8.67 seconds
 284 Steps   Best: 1514410927   8.67 seconds
 285 Steps   Best: 1514406653   8.68 seconds
 286 Steps   Best: 1514406400   8.68 seconds
 287 Steps   Best: 1514405714   8.68 seconds
 289 Steps   Best: 1514405676   8.69 seconds
 293 Steps   Best: 1514404114   8.70 seconds
 295 Steps   Best: 1514403381   8.71 seconds
 296 Steps   Best: 1514395323   8.72 seconds
 299 Steps   Best: 1514394658   8.73 seconds
 301 Steps   Best: 1514393105   8.74 seconds
 305 Steps   Best: 1514389170   8.75 seconds
 306 Steps   Best: 1514387092   8.75 seconds
 308 Steps   Best: 1514381605   8.76 seconds
 310 Steps   Best: 1514376323   8.77 seconds
 314 Steps   Best: 1514374452   8.77 seconds
 319 Steps   Best: 1514367157   8.79 seconds
 320 Steps   Best: 1514366009   8.79 seconds
 321 Steps   Best: 1514359528   8.80 seconds
 322 Steps   Best: 1514358908   8.80 seconds
 323 Steps   Best: 1514355545   8.81 seconds
 324 Steps   Best: 1514348648   8.81 seconds
 325 Steps   Best: 1514347968   8.81 seconds
 327 Steps   Best: 1514344259   8.82 seconds
 330 Steps   Best: 1514343957   8.83 seconds
 331 Steps   Best: 1514342665   8.83 seconds
 332 Steps   Best: 1514341892   8.83 seconds
 337 Steps   Best: 1514341098   8.85 seconds
 339 Steps   Best: 1514334003   8.86 seconds
 341 Steps   Best: 1514325785   8.87 seconds
 343 Steps   Best: 1514323272   8.88 seconds
 344 Steps   Best: 1514314386   8.88 seconds
 346 Steps   Best: 1514279034   8.89 seconds
 347 Steps   Best: 1514274123   8.89 seconds
 348 Steps   Best: 1514272403   8.90 seconds
 349 Steps   Best: 1514272370   8.90 seconds
 352 Steps   Best: 1514267026   8.92 seconds
 353 Steps   Best: 1514261710   8.92 seconds
 356 Steps   Best: 1514259955   8.93 seconds
 358 Steps   Best: 1514259188   8.94 seconds
 359 Steps   Best: 1514253664   8.95 seconds
 360 Steps   Best: 1514241692   8.95 seconds
 362 Steps   Best: 1514240854   8.96 seconds
 363 Steps   Best: 1514236328   8.96 seconds
 364 Steps   Best: 1514233650   8.96 seconds
 365 Steps   Best: 1514191530   8.97 seconds
 366 Steps   Best: 1514186553   8.97 seconds
 367 Steps   Best: 1514185895   8.98 seconds
 368 Steps   Best: 1514180558   8.98 seconds
 371 Steps   Best: 1514171416   8.99 seconds
 374 Steps   Best: 1514171368   9.00 seconds
 377 Steps   Best: 1514164709   9.02 seconds
 380 Steps   Best: 1514159610   9.03 seconds
 382 Steps   Best: 1514158703   9.04 seconds
 384 Steps   Best: 1514157436   9.04 seconds
 387 Steps   Best: 1514155183   9.06 seconds
 388 Steps   Best: 1514151585   9.06 seconds
 389 Steps   Best: 1514148643   9.06 seconds
 390 Steps   Best: 1514147838   9.06 seconds
 391 Steps   Best: 1514147553   9.07 seconds
 392 Steps   Best: 1514145185   9.07 seconds
 393 Steps   Best: 1514140638   9.07 seconds
 398 Steps   Best: 1514139583   9.09 seconds
 400 Steps   Best: 1514138690   9.09 seconds
 401 Steps   Best: 1514137686   9.10 seconds
 403 Steps   Best: 1514137306   9.11 seconds
 404 Steps   Best: 1514137172   9.11 seconds
 405 Steps   Best: 1514133371   9.11 seconds
 406 Steps   Best: 1514129760   9.12 seconds
 408 Steps   Best: 1514128125   9.13 seconds
 409 Steps   Best: 1514118450   9.13 seconds
 411 Steps   Best: 1514115946   9.14 seconds
 414 Steps   Best: 1514113609   9.15 seconds
 418 Steps   Best: 1514108254   9.16 seconds
 421 Steps   Best: 1514108102   9.18 seconds
 422 Steps   Best: 1514107327   9.19 seconds
 424 Steps   Best: 1514100797   9.21 seconds
 427 Steps   Best: 1514079498   9.23 seconds
 428 Steps   Best: 1514079317   9.23 seconds
 430 Steps   Best: 1514075337   9.24 seconds
 431 Steps   Best: 1514074824   9.24 seconds
 433 Steps   Best: 1514074496   9.24 seconds
 435 Steps   Best: 1514072175   9.26 seconds
 436 Steps   Best: 1514070918   9.26 seconds
 439 Steps   Best: 1514069755   9.27 seconds
 440 Steps   Best: 1514064738   9.27 seconds
 441 Steps   Best: 1514060531   9.27 seconds
 443 Steps   Best: 1514055596   9.28 seconds
 445 Steps   Best: 1514055408   9.28 seconds
 447 Steps   Best: 1514053999   9.29 seconds
 452 Steps   Best: 1514051589   9.31 seconds
 455 Steps   Best: 1514049373   9.33 seconds
 458 Steps   Best: 1514047962   9.34 seconds
 460 Steps   Best: 1514045253   9.34 seconds
 461 Steps   Best: 1514043909   9.35 seconds
 462 Steps   Best: 1514038895   9.35 seconds
 463 Steps   Best: 1514038468   9.35 seconds
 464 Steps   Best: 1514034264   9.36 seconds
 465 Steps   Best: 1514030814   9.37 seconds
 469 Steps   Best: 1514024724   9.39 seconds
 470 Steps   Best: 1514020627   9.39 seconds
 471 Steps   Best: 1514016022   9.40 seconds
 474 Steps   Best: 1514013042   9.41 seconds
 475 Steps   Best: 1514009494   9.42 seconds
 477 Steps   Best: 1514009364   9.42 seconds
 478 Steps   Best: 1514006489   9.43 seconds
 482 Steps   Best: 1514006226   9.43 seconds
 485 Steps   Best: 1514004110   9.45 seconds
 486 Steps   Best: 1513975952   9.45 seconds
 488 Steps   Best: 1513970867   9.46 seconds
 489 Steps   Best: 1513970391   9.46 seconds
 490 Steps   Best: 1513966011   9.47 seconds
 492 Steps   Best: 1513962530   9.48 seconds
 493 Steps   Best: 1513841207   9.48 seconds
 496 Steps   Best: 1513838879   9.49 seconds
 497 Steps   Best: 1513833410   9.49 seconds
 499 Steps   Best: 1513829890   9.50 seconds
 500 Steps   Best: 1513828457   9.50 seconds
 501 Steps   Best: 1513825624   9.50 seconds
 503 Steps   Best: 1513813055   9.51 seconds
 504 Steps   Best: 1513812899   9.51 seconds
 509 Steps   Best: 1513808289   9.54 seconds
 510 Steps   Best: 1513807732   9.55 seconds
 511 Steps   Best: 1513806692   9.55 seconds
 512 Steps   Best: 1513804393   9.55 seconds
 513 Steps   Best: 1513800713   9.56 seconds
 514 Steps   Best: 1513799711   9.56 seconds
 516 Steps   Best: 1513799077   9.56 seconds
 517 Steps   Best: 1513799016   9.56 seconds
 518 Steps   Best: 1513798994   9.56 seconds
 519 Steps   Best: 1513790807   9.57 seconds
 521 Steps   Best: 1513786328   9.58 seconds
 523 Steps   Best: 1513784364   9.58 seconds
 524 Steps   Best: 1513782849   9.59 seconds
 526 Steps   Best: 1513775599   9.60 seconds
 532 Steps   Best: 1513749132   9.64 seconds
 533 Steps   Best: 1513746279   9.64 seconds
 534 Steps   Best: 1513733879   9.64 seconds
 535 Steps   Best: 1513732685   9.64 seconds
 536 Steps   Best: 1513732633   9.65 seconds
 537 Steps   Best: 1513731602   9.65 seconds
 538 Steps   Best: 1513728027   9.65 seconds
 539 Steps   Best: 1513727408   9.65 seconds
 544 Steps   Best: 1513721091   9.67 seconds
 545 Steps   Best: 1513718152   9.68 seconds
 550 Steps   Best: 1513709629   9.71 seconds
 551 Steps   Best: 1513692554   9.71 seconds
 552 Steps   Best: 1513678500   9.72 seconds
 553 Steps   Best: 1513675829   9.72 seconds
 556 Steps   Best: 1513630428   9.73 seconds
 558 Steps   Best: 1513612696   9.75 seconds
 563 Steps   Best: 1513612235   9.76 seconds
 565 Steps   Best: 1513610254   9.77 seconds
 566 Steps   Best: 1513609777   9.78 seconds
 568 Steps   Best: 1513602043   9.79 seconds
 569 Steps   Best: 1513596232   9.79 seconds
 570 Steps   Best: 1513593638   9.79 seconds
 572 Steps   Best: 1513592700   9.80 seconds
 573 Steps   Best: 1513590010   9.80 seconds
 576 Steps   Best: 1513586269   9.82 seconds
 578 Steps   Best: 1513585206   9.82 seconds
 581 Steps   Best: 1513583865   9.83 seconds
 585 Steps   Best: 1513582590   9.85 seconds
 586 Steps   Best: 1513577185   9.85 seconds
 589 Steps   Best: 1513574430   9.86 seconds
 590 Steps   Best: 1513574399   9.87 seconds
 591 Steps   Best: 1513563906   9.87 seconds
 592 Steps   Best: 1513552661   9.88 seconds
 593 Steps   Best: 1513551533   9.88 seconds
 599 Steps   Best: 1513546502   9.91 seconds
 601 Steps   Best: 1513518423   9.93 seconds
 605 Steps   Best: 1513518414   9.94 seconds
 606 Steps   Best: 1513517270   9.95 seconds
 607 Steps   Best: 1513514508   9.95 seconds
 608 Steps   Best: 1513512418   9.96 seconds
 609 Steps   Best: 1513507326   9.97 seconds
 610 Steps   Best: 1513500884   9.97 seconds
 611 Steps   Best: 1513493326   9.98 seconds
 615 Steps   Best: 1513488574   10.00 seconds
 618 Steps   Best: 1513482326   10.01 seconds
 623 Steps   Best: 1513481678   10.03 seconds
 624 Steps   Best: 1513480112   10.03 seconds
 627 Steps   Best: 1513467611   10.05 seconds
 628 Steps   Best: 1513457154   10.06 seconds
 629 Steps   Best: 1513457135   10.06 seconds
 630 Steps   Best: 1513453534   10.06 seconds
 632 Steps   Best: 1513451388   10.07 seconds
 634 Steps   Best: 1513448051   10.07 seconds
 635 Steps   Best: 1513446202   10.08 seconds
 640 Steps   Best: 1513444451   10.09 seconds
 641 Steps   Best: 1513442978   10.10 seconds
 644 Steps   Best: 1513429851   10.11 seconds
 646 Steps   Best: 1513428579   10.11 seconds
 647 Steps   Best: 1513423183   10.12 seconds
 648 Steps   Best: 1513410564   10.12 seconds
 653 Steps   Best: 1513410393   10.14 seconds
 654 Steps   Best: 1513409413   10.14 seconds
 655 Steps   Best: 1513397653   10.15 seconds
 656 Steps   Best: 1513397035   10.15 seconds
 657 Steps   Best: 1513387296   10.16 seconds
 658 Steps   Best: 1513384788   10.16 seconds
 661 Steps   Best: 1513384214   10.17 seconds
 662 Steps   Best: 1513382334   10.17 seconds
 669 Steps   Best: 1513380596   10.19 seconds
 673 Steps   Best: 1513379176   10.20 seconds
 675 Steps   Best: 1513373905   10.20 seconds
 678 Steps   Best: 1513373620   10.21 seconds
 679 Steps   Best: 1513371786   10.21 seconds
 681 Steps   Best: 1513371507   10.22 seconds
 682 Steps   Best: 1513365226   10.22 seconds
 685 Steps   Best: 1513364667   10.23 seconds
 689 Steps   Best: 1513358666   10.26 seconds
 690 Steps   Best: 1513356245   10.26 seconds
 691 Steps   Best: 1513353943   10.26 seconds
 692 Steps   Best: 1513348229   10.27 seconds
 694 Steps   Best: 1513347782   10.27 seconds
 696 Steps   Best: 1513345136   10.28 seconds
 703 Steps   Best: 1513343308   10.30 seconds
 704 Steps   Best: 1513341421   10.30 seconds
 706 Steps   Best: 1513338977   10.31 seconds
 707 Steps   Best: 1513330660   10.32 seconds
 708 Steps   Best: 1513328150   10.32 seconds
 710 Steps   Best: 1513325724   10.33 seconds
 711 Steps   Best: 1513322559   10.33 seconds
 712 Steps   Best: 1513320461   10.34 seconds
 713 Steps   Best: 1513313240   10.34 seconds
 714 Steps   Best: 1513306099   10.34 seconds
 715 Steps   Best: 1513306041   10.34 seconds
 717 Steps   Best: 1513305321   10.35 seconds
 718 Steps   Best: 1513300761   10.35 seconds
 719 Steps   Best: 1513298864   10.36 seconds
 720 Steps   Best: 1513295528   10.36 seconds
 724 Steps   Best: 1513275772   10.37 seconds
 726 Steps   Best: 1513264783   10.37 seconds
 729 Steps   Best: 1513257537   10.39 seconds
 730 Steps   Best: 1513251539   10.39 seconds
 731 Steps   Best: 1513246244   10.39 seconds
 734 Steps   Best: 1513246084   10.40 seconds
 735 Steps   Best: 1513242311   10.40 seconds
 737 Steps   Best: 1513241000   10.42 seconds
 738 Steps   Best: 1513231673   10.43 seconds
 739 Steps   Best: 1513227993   10.43 seconds
 740 Steps   Best: 1513226098   10.43 seconds
 741 Steps   Best: 1513221669   10.43 seconds
 742 Steps   Best: 1513217639   10.44 seconds
 743 Steps   Best: 1513215089   10.44 seconds
 745 Steps   Best: 1513214036   10.44 seconds
 746 Steps   Best: 1513209944   10.45 seconds
 747 Steps   Best: 1513202899   10.46 seconds
 748 Steps   Best: 1513191140   10.46 seconds
 749 Steps   Best: 1513189884   10.46 seconds
 750 Steps   Best: 1513185100   10.47 seconds
 751 Steps   Best: 1513184606   10.47 seconds
 754 Steps   Best: 1513176167   10.48 seconds
 755 Steps   Best: 1513173785   10.48 seconds
 756 Steps   Best: 1513169820   10.48 seconds
 757 Steps   Best: 1513166909   10.48 seconds
 758 Steps   Best: 1513162936   10.49 seconds
 759 Steps   Best: 1513162768   10.49 seconds
 760 Steps   Best: 1513144787   10.49 seconds
 761 Steps   Best: 1513137721   10.49 seconds
 762 Steps   Best: 1513136897   10.50 seconds
 763 Steps   Best: 1513134888   10.50 seconds
 765 Steps   Best: 1513134372   10.50 seconds
 769 Steps   Best: 1513133528   10.51 seconds
 770 Steps   Best: 1513131924   10.51 seconds
 772 Steps   Best: 1513131174   10.52 seconds
 774 Steps   Best: 1513128458   10.52 seconds
 779 Steps   Best: 1513126856   10.54 seconds
 781 Steps   Best: 1513123806   10.55 seconds
 783 Steps   Best: 1513119903   10.56 seconds
 784 Steps   Best: 1513118060   10.57 seconds
 786 Steps   Best: 1513116324   10.57 seconds
 790 Steps   Best: 1513115235   10.59 seconds
 791 Steps   Best: 1513106902   10.59 seconds
 792 Steps   Best: 1513101788   10.60 seconds
 798 Steps   Best: 1513099153   10.63 seconds
 799 Steps   Best: 1513095160   10.63 seconds
 802 Steps   Best: 1513084811   10.64 seconds
 804 Steps   Best: 1513082689   10.64 seconds
 805 Steps   Best: 1513081437   10.64 seconds
 807 Steps   Best: 1513079525   10.65 seconds
 808 Steps   Best: 1513074348   10.65 seconds
 811 Steps   Best: 1513072932   10.66 seconds
 815 Steps   Best: 1513072026   10.67 seconds
 817 Steps   Best: 1513070034   10.67 seconds
 818 Steps   Best: 1513068265   10.68 seconds
 821 Steps   Best: 1513064259   10.68 seconds
 822 Steps   Best: 1513058059   10.69 seconds
 823 Steps   Best: 1513055281   10.69 seconds
 826 Steps   Best: 1513051777   10.70 seconds
 828 Steps   Best: 1513042557   10.71 seconds
 829 Steps   Best: 1513041020   10.72 seconds
 830 Steps   Best: 1513040945   10.72 seconds
 831 Steps   Best: 1513028610   10.72 seconds
 834 Steps   Best: 1513025667   10.73 seconds
 835 Steps   Best: 1513021816   10.73 seconds
 838 Steps   Best: 1513020460   10.74 seconds
 840 Steps   Best: 1513016922   10.75 seconds
 841 Steps   Best: 1513013780   10.75 seconds
 848 Steps   Best: 1513013174   10.78 seconds
 852 Steps   Best: 1513011299   10.79 seconds
 856 Steps   Best: 1513008854   10.80 seconds
 859 Steps   Best: 1513008374   10.81 seconds
 860 Steps   Best: 1513005638   10.82 seconds
 862 Steps   Best: 1513004743   10.82 seconds
 863 Steps   Best: 1513004220   10.82 seconds
 864 Steps   Best: 1512999245   10.83 seconds
 866 Steps   Best: 1512993321   10.84 seconds
 867 Steps   Best: 1512992121   10.84 seconds
 868 Steps   Best: 1512991839   10.84 seconds
 869 Steps   Best: 1512990163   10.84 seconds
 870 Steps   Best: 1512989729   10.85 seconds
 872 Steps   Best: 1512979487   10.85 seconds
 874 Steps   Best: 1512977147   10.86 seconds
 875 Steps   Best: 1512976912   10.87 seconds
 877 Steps   Best: 1512973355   10.87 seconds
 878 Steps   Best: 1512971534   10.87 seconds
 879 Steps   Best: 1512967527   10.88 seconds
 883 Steps   Best: 1512967366   10.90 seconds
 884 Steps   Best: 1512966677   10.90 seconds
 885 Steps   Best: 1512964708   10.90 seconds
 886 Steps   Best: 1512963468   10.91 seconds
 889 Steps   Best: 1512961201   10.93 seconds
 890 Steps   Best: 1512958511   10.94 seconds
 892 Steps   Best: 1512949447   10.95 seconds
 896 Steps   Best: 1512946410   10.96 seconds
 897 Steps   Best: 1512944292   10.96 seconds
 898 Steps   Best: 1512943989   10.96 seconds
 899 Steps   Best: 1512936599   10.97 seconds
 902 Steps   Best: 1512935144   10.98 seconds
 905 Steps   Best: 1512932893   10.99 seconds
 907 Steps   Best: 1512932842   11.00 seconds
 908 Steps   Best: 1512928870   11.00 seconds
 909 Steps   Best: 1512928123   11.00 seconds
 911 Steps   Best: 1512926501   11.01 seconds
 912 Steps   Best: 1512920691   11.01 seconds
 913 Steps   Best: 1512919061   11.01 seconds
 914 Steps   Best: 1512918305   11.01 seconds
 915 Steps   Best: 1512918275   11.02 seconds
 916 Steps   Best: 1512913956   11.02 seconds
 918 Steps   Best: 1512911783   11.02 seconds
 919 Steps   Best: 1512906282   11.03 seconds
 921 Steps   Best: 1512902880   11.03 seconds
 922 Steps   Best: 1512902092   11.03 seconds
 923 Steps   Best: 1512901588   11.04 seconds
 927 Steps   Best: 1512899128   11.05 seconds
 929 Steps   Best: 1512895949   11.06 seconds
 931 Steps   Best: 1512881059   11.07 seconds
 932 Steps   Best: 1512879844   11.07 seconds
 934 Steps   Best: 1512879575   11.08 seconds
 937 Steps   Best: 1512872405   11.09 seconds
 938 Steps   Best: 1512866041   11.09 seconds
 939 Steps   Best: 1512865759   11.10 seconds
 940 Steps   Best: 1512860673   11.10 seconds
 943 Steps   Best: 1512858498   11.11 seconds
 944 Steps   Best: 1512857067   11.11 seconds
 947 Steps   Best: 1512856887   11.12 seconds
 949 Steps   Best: 1512852258   11.13 seconds
 950 Steps   Best: 1512844973   11.13 seconds
 951 Steps   Best: 1512844021   11.14 seconds
 952 Steps   Best: 1512839782   11.14 seconds
 954 Steps   Best: 1512839437   11.14 seconds
 957 Steps   Best: 1512835907   11.16 seconds
 958 Steps   Best: 1512835523   11.16 seconds
 959 Steps   Best: 1512835308   11.16 seconds
 960 Steps   Best: 1512819927   11.17 seconds
 964 Steps   Best: 1512818740   11.18 seconds
 972 Steps   Best: 1512811169   11.20 seconds
 973 Steps   Best: 1512809053   11.20 seconds
 975 Steps   Best: 1512800482   11.21 seconds
 976 Steps   Best: 1512800471   11.21 seconds
 977 Steps   Best: 1512796222   11.21 seconds
 983 Steps   Best: 1512786547   11.23 seconds
 987 Steps   Best: 1512786339   11.24 seconds
 993 Steps   Best: 1512785477   11.27 seconds
 994 Steps   Best: 1512785433   11.27 seconds
 995 Steps   Best: 1512781419   11.27 seconds
 996 Steps   Best: 1512781213   11.27 seconds
 999 Steps   Best: 1512775974   11.28 seconds
1001 Steps   Best: 1512775431   11.30 seconds
1002 Steps   Best: 1512774394   11.30 seconds
1005 Steps   Best: 1512772875   11.31 seconds
1006 Steps   Best: 1512771910   11.31 seconds
1007 Steps   Best: 1512771000   11.32 seconds
1008 Steps   Best: 1512770852   11.32 seconds
1009 Steps   Best: 1512767671   11.32 seconds
1010 Steps   Best: 1512766945   11.33 seconds
1011 Steps   Best: 1512764001   11.33 seconds
